"CLEVELAND           ","OHIO                ","26:44   ","-05:00:00","NORTH","41.31 ","WEST","81.41 ","-1","      201"
"BAMAKO              ","MALI                ","32:8    "," 00:00:00","NORTH","12.38 ","WEST","8.02  ","-1","      202"
"BECKLEY             ","WV                  ","24:28   ","-05:00:00","NORTH","37.47 ","WEST","81.07 ","-1","      203"
"BROOKINGS           ","SD                  ","27:16   ","-06:00:00","NORTH","44.18 ","WEST","96.49 ","-1","      204"
"BORLANGE            ","SWEDEN              ","2:4     ","+01:00:00","NORTH","60.25 ","EAST","15.31 ","-1","      205"
"PRINCETON           ","WV                  ","24:48   ","-05:00:00","NORTH","37.18 ","WEST","81.12 ","-1","      206"
"BLYTHE              ","CALIFORNIA          ","21:8    ","-08:00:00","NORTH","33.37 ","WEST","114.43","+1","      207"
"BELLINGHAM          ","WA                  ","10:8    ","-08:00:00","NORTH","48.48 ","WEST","122.32","-1","      208"
"BILLUND             ","DENMARK             ","23:24   ","+01:00:00","NORTH","55.44 ","EAST","9.09  ","+1","      209"
"BELMAR              ","NEW JERSEY          ","3:28    ","-05:00:00","NORTH","40.11 ","WEST","74.08 ","+1","      210"
"BOLOGNA             ","ITALY               ","14:48   ","+01:00:00","NORTH","44.32 ","EAST","11.18 ","+1","      211"
"BANGALORE           ","INDIA               ","39:20   ","+05:50:00","NORTH","12.57 ","EAST","77.40 ","+1","      212"
"BELLEVILLE          ","ILLINOIS            ","0:36    ","-06:00:00","NORTH","38.33 ","WEST","89.51 ","+1","      213"
"BLANTYRE            ","MALAWI              ","19:52   ","+02:00:00","SOUTH","15.40 ","EAST","34.58 ","-1","      214"
"BRIGHAM CITY        ","UTAH                ","28:16   ","-07:00:00","NORTH","41.33 ","WEST","112.04","-1","      215"
"BLOOMINGTON         ","IL                  ","4:16    ","-06:00:00","NORTH","40.29 ","WEST","88.56 ","+1","      216"
"NASHVILLE           ","TENNESSEE           ","13:16   ","-06:00:00","NORTH","36.8  ","WEST","86.41 ","+1","      217"
"BANDAR ABBAS        ","IRAN                ","45:32   ","+03:00:00","NORTH","27.14 ","EAST","56.23 ","-1","      218"
"BRISBANE            ","AUSTRALIA           ","12:20   ","+10:00:00","SOUTH","27.26 ","EAST","153.05","-1","      219"
"BENIN CITY          ","NIGERIA             ","37:36   ","+01:00:00","NORTH","6.19  ","EAST","5.36  ","+1","      220"
"BURNS               ","OREGON              ","4:12    ","-08:00:00","NORTH","43.35 ","WEST","118.57","+1","      221"
"BORDEAUX            ","FRANCE              ","57:8    ","+01:00:00","NORTH","44.50 ","WEST","0.43  ","+1","      222"
"BOGOTA              ","COLOMBIA            ","296:36  "," 00:00:00","NORTH","4.42  ","WEST","74.09 ","-1","      223"
"BOISE               ","IDAHO               ","44:56   ","-07:00:00","NORTH","43.34 ","WEST","116.14","-1","      224"
"BOURGAS             ","BULGARIA            ","10:52   ","+02:00:00","NORTH","42.25 ","EAST","27.17 ","+1","      225"
"BOMBAY              ","INDIA               ","58:36   ","+05:50:00","NORTH","19.5  ","EAST","72.51 ","+1","      226"
"BONAIRE             ","ANTILLES            ","33:4    ","-04:00:00","NORTH","12.8  ","WEST","68.16 ","-1","      227"
"BODO                ","NORWAY              ","2:32    ","+01:00:00","NORTH","67.16 ","EAST","14.22 ","+1","      228"
"BELFORT             ","FRANCE              ","31:56   ","+01:00:00","NORTH","47.39 ","EAST","7.01  ","+1","      229"
"BOSTON              ","MA                  ","16:0    ","-05:00:00","NORTH","42.22 ","WEST","71.00 ","+1","      230"
"BOBO DIOULASSO      ","BF                  ","17:20   "," 00:00:00","NORTH","11.10 ","WEST","4.20  ","-1","      231"
"BEAUMONT            ","TEXAS               ","16:4    ","-06:00:00","NORTH","29.57 ","WEST","94.01 ","-1","      232"
"BRUNSWICK           ","GEORGIA             ","25:52   ","-05:00:00","NORTH","31.16 ","WEST","81.28 ","-1","      233"
"AGUADILLA           ","PR                  ","28:32   ","-04:00:00","NORTH","18.30 ","WEST","67.08 ","-1","      234"
"SAN CARLOS DEBAR.   ","                    ","104:40  ","-03:00:00","SOUTH","41.9  ","WEST","71.10 ","-1","      235"
